aX,aY,aZ,gX,gY,gZ
1.440,-0.321,-1.936,41.260,144.348,154.907
1.398,-0.458,-3.326,54.199,177.002,156.616
1.349,-1.044,-4.000,67.261,199.890,123.718
1.308,-1.730,-4.000,46.814,195.618,76.111
1.410,-2.325,-4.000,-31.982,151.978,46.448
1.206,-2.197,-4.000,-106.934,86.487,71.716
0.816,-1.879,-4.000,-120.422,39.734,117.737
0.449,-1.453,-4.000,-101.563,-12.024,147.644
-0.212,-0.915,-4.000,-83.557,-105.347,146.301
-0.987,-0.709,-4.000,-67.322,-225.220,113.892
-1.782,-0.731,-4.000,-59.570,-339.600,94.482
-2.571,-0.308,-3.102,-64.575,-412.415,136.841
-3.250,0.667,-1.529,-69.885,-437.561,227.051
-4.000,2.063,0.544,-77.698,-423.340,317.322
-4.000,3.993,3.789,-95.642,-389.648,381.226
-4.000,4.000,4.000,-115.112,-408.386,345.703
-4.000,4.000,4.000,-96.863,-520.508,192.993
-2.156,4.000,4.000,-132.812,-608.459,42.297
2.715,4.000,4.000,-240.540,-580.750,29.785
4.000,2.339,4.000,-146.057,-388.489,13.184
3.699,-0.268,4.000,113.953,-163.757,-227.295
-0.198,-1.604,4.000,308.838,-33.325,-507.141
-2.383,-1.415,3.658,447.449,46.265,-491.882
-2.007,0.049,2.166,395.386,134.644,-169.617
-1.260,1.717,1.621,182.495,269.470,141.785
-1.062,2.315,1.009,-10.193,391.296,243.408
-1.275,2.491,0.780,-110.229,407.837,211.792
-1.167,2.262,0.608,-118.469,344.971,143.677
-0.944,1.979,0.585,-82.031,282.349,80.322
-0.899,1.774,0.519,-24.231,238.403,22.644
-0.818,1.569,0.322,29.663,203.674,-28.320
-0.651,1.353,0.106,67.627,175.720,-61.951
-0.425,1.112,-0.074,87.097,163.452,-77.087
-0.227,0.890,-0.211,90.393,167.114,-75.134
-0.072,0.547,-0.484,90.698,180.176,-60.608
0.077,0.343,-0.766,85.754,196.472,-37.964
0.212,0.390,-0.951,69.580,203.491,-22.156
0.251,0.382,-1.073,57.678,190.979,-32.227
0.340,0.307,-1.074,56.335,156.860,-60.120
0.546,0.053,-1.063,62.439,114.319,-83.923
0.759,-0.114,-1.068,72.571,88.928,-92.041
0.893,-0.216,-1.083,76.172,87.524,-89.294
0.938,-0.499,-1.375,76.416,96.191,-83.984
0.729,-0.664,-1.962,79.651,112.732,-72.144
0.584,-0.600,-2.468,79.712,129.395,-58.289
0.539,-0.534,-2.852,68.542,127.747,-46.448
0.469,-0.369,-3.078,44.495,108.826,-39.124
0.495,-0.186,-3.054,20.813,74.402,-30.518
0.601,-0.088,-2.867,6.348,37.292,-29.358
0.658,-0.014,-2.572,0.916,0.610,-33.508
0.676,0.002,-2.251,-3.906,-26.672,-39.307
0.726,-0.001,-1.896,-11.963,-40.710,-39.368
0.787,0.006,-1.504,-23.987,-48.401,-32.898
0.873,0.022,-1.120,-32.410,-55.786,-25.940
0.961,0.020,-0.762,-36.255,-61.768,-22.034
1.028,0.036,-0.429,-33.264,-65.857,-19.958
1.110,0.081,-0.126,-25.452,-69.031,-17.212
1.196,0.191,0.081,-13.000,-69.275,-15.442
1.267,0.252,0.199,-1.648,-65.430,-20.020
1.257,0.268,0.269,3.052,-61.096,-26.245
1.263,0.281,0.382,-3.662,-56.702,-30.396
1.302,0.245,0.461,-15.747,-53.101,-31.433
1.321,0.145,0.499,-26.489,-46.204,-33.325
1.288,0.040,0.496,-33.386,-32.837,-33.875
1.229,-0.027,0.483,-36.499,-15.930,-29.114
1.171,-0.049,0.451,-34.607,-0.122,-19.470
1.115,-0.050,0.380,-26.733,11.292,-10.315
1.060,-0.065,0.273,-15.137,16.296,-4.761
0.984,-0.052,0.164,-2.869,15.991,-1.038
0.939,0.001,0.030,7.263,13.306,3.479
0.981,0.111,-0.035,9.155,8.423,6.653
1.010,0.163,-0.049,3.235,3.235,3.967
1.012,0.153,-0.050,-5.066,1.343,-1.038
1.021,0.128,-0.010,-14.771,0.305,-3.845
1.012,0.106,0.024,-18.799,0.305,-5.920
1.015,0.081,0.051,-16.602,-0.061,-7.263
1.016,0.071,0.056,-10.803,-1.282,-8.057
1.003,0.072,0.024,-2.563,-0.671,-8.850
0.987,0.084,-0.016,3.784,-0.183,-9.766
0.973,0.099,-0.048,6.409,0.061,-9.766
0.954,0.110,-0.086,6.653,1.526,-8.667
0.953,0.114,-0.128,5.005,4.333,-7.019
0.935,0.124,-0.169,1.892,7.019,-6.104
0.944,0.150,-0.180,-2.625,7.141,-5.066
0.963,0.156,-0.174,-7.751,4.272,-6.409
0.965,0.157,-0.141,-11.475,-0.183,-9.705
0.980,0.139,-0.100,-10.803,-3.662,-13.428
0.981,0.099,-0.058,-5.188,-6.653,-17.456
0.971,0.072,-0.035,3.052,-7.812,-19.104
0.967,0.063,-0.031,10.498,-5.859,-17.151
0.969,0.072,-0.026,16.052,-3.540,-12.939
0.974,0.079,-0.030,19.104,-0.671,-9.155
0.956,0.103,-0.048,19.653,2.747,-5.798
0.964,0.118,-0.082,17.700,5.493,-2.502
0.983,0.140,-0.113,12.817,7.080,-1.160
0.987,0.151,-0.136,7.080,8.179,-1.404
0.994,0.143,-0.146,1.282,8.118,-3.174
0.990,0.132,-0.136,-3.662,7.446,-6.042
0.978,0.116,-0.123,-6.042,5.615,-8.545
0.982,0.095,-0.106,-6.775,2.625,-10.010
0.991,0.068,-0.075,-5.981,-0.244,-10.925
0.989,0.041,-0.045,-4.639,-0.427,-10.559
0.981,0.028,-0.030,-2.380,2.808,-7.751
0.967,0.025,-0.042,0.916,6.897,-3.723
0.972,0.035,-0.062,3.845,9.460,-0.977
0.966,0.054,-0.077,6.470,10.315,0.244
0.957,0.073,-0.100,8.240,10.376,-0.244
0.951,0.081,-0.123,8.545,9.827,-1.587
0.944,0.094,-0.139,6.409,8.118,-2.625
0.950,0.080,-0.133,2.258,5.554,-3.723
0.962,0.068,-0.108,-2.197,3.601,-4.700
0.950,0.055,-0.092,-3.967,3.418,-5.554
0.945,0.044,-0.090,-3.540,3.235,-5.676
0.938,0.039,-0.090,-2.258,3.174,-5.615
0.936,0.037,-0.094,-0.488,3.357,-5.005
0.933,0.032,-0.088,1.465,2.747,-4.272
0.940,0.029,-0.088,3.662,1.770,-3.418
